,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
45,COAD,0.9375,1.1111418008804321,5,0.007362186908721924,0.2727280591359713,0.9479166666666666,[0.95652174 0.94      ],[0.93617021 0.95918367],[0.94623656 0.94949495]
46,READ,0.9117647058823529,0.5438081622123718,5,0.0042754411697387695,0.29659600037945943,0.8823529411764706,[0.93333333 0.84210526],[0.82352941 0.94117647],[0.875      0.88888889]
47,LGG,0.9902912621359223,0.811127245426178,5,0.013197124004364014,0.3042011320712807,0.9902912621359223,[0.98039216 1.        ],[1.         0.98113208],[0.99009901 0.99047619]
48,MESO,1.0,0.3397963047027588,5,0.0053046345710754395,0.2894536512122341,1.0,[1. 1.],[1. 1.],[1. 1.]
49,LAML,1.0,0.30465155839920044,5,0.005299508571624756,0.339987349293064,1.0,[1. 1.],[1. 1.],[1. 1.]
50,BLCA,0.9047619047619048,0.9604024887084961,5,0.005908012390136719,0.23556865390747053,0.8452380952380952,[0.85       0.84090909],[0.82926829 0.86046512],[0.83950617 0.85057471]
51,OV,1.0,0.5642724633216858,5,0.0062108635902404785,0.23553493935569605,0.9508196721311475,[0.93548387 0.96666667],[0.96666667 0.93548387],[0.95081967 0.95081967]
52,LUSC,0.9439252336448598,1.1278103590011597,5,0.0053154826164245605,0.23128588845381443,0.822429906542056,[0.78947368 0.86      ],[0.86538462 0.78181818],[0.82568807 0.81904762]
53,ACC,1.0,0.2844667434692383,5,0.004953265190124512,0.296408779537665,1.0,[1. 1.],[1. 1.],[1. 1.]
54,THYM,1.0,0.3174317479133606,5,0.004847466945648193,0.3339555628439335,1.0,[1. 1.],[1. 1.],[1. 1.]
55,ESCA,0.9736842105263158,0.4791725277900696,5,0.0040627121925354,0.2613507852346199,0.9473684210526315,[1.        0.9047619],[0.89473684 1.        ],[0.94444444 0.95      ]
56,PAAD,0.9722222222222222,0.43953031301498413,5,0.004135429859161377,0.28322369219112375,0.8888888888888888,[0.88888889 0.88888889],[0.88888889 0.88888889],[0.88888889 0.88888889]
57,LIHC,0.975609756097561,0.6061384081840515,5,0.010548949241638184,0.2857211750432439,0.975609756097561,[0.95238095 1.        ],[1.         0.95238095],[0.97560976 0.97560976]
58,SARC,0.9607843137254902,0.5364693403244019,5,0.004879951477050781,0.24503276964460546,0.9803921568627451,[1.         0.96296296],[0.96 1.  ],[0.97959184 0.98113208]
59,GBM,1.0,0.3624439239501953,5,0.004239022731781006,0.30546833963571995,0.9411764705882353,[0.94117647 0.94117647],[0.94117647 0.94117647],[0.94117647 0.94117647]
60,TGCT,0.96875,0.34438616037368774,5,0.004781544208526611,0.3376462168695901,1.0,[1. 1.],[1. 1.],[1. 1.]
61,KICH,0.95,0.3136606812477112,5,0.004869580268859863,0.33948195257975033,0.95,[0.90909091 1.        ],[1.  0.9],[0.95238095 0.94736842]
62,PCPG,1.0,0.4320709705352783,5,0.0053029656410217285,0.3060171551570415,0.9736842105263158,[0.95 1.  ],[1.         0.94736842],[0.97435897 0.97297297]
63,UCS,0.9166666666666666,0.27327680587768555,5,0.004723310470581055,0.307455078088899,0.8333333333333334,[0.83333333 0.83333333],[0.83333333 0.83333333],[0.83333333 0.83333333]
64,UVM,1.0,0.3214343786239624,5,0.0056760311126708984,0.37282514120262694,1.0,[1. 1.],[1. 1.],[1. 1.]
65,CHOL,1.0,0.2819738984107971,5,0.004030168056488037,0.35651460163628557,1.0,[1. 1.],[1. 1.],[1. 1.]
66,BRCA,0.9826839826839827,1.9608936309814453,10,0.007058441638946533,0.3185135622114729,0.9783549783549783,[0.97272727 0.98347107],[0.98165138 0.97540984],[0.97716895 0.97942387]
67,LUAD,0.963963963963964,1.1289286613464355,10,0.0070073604583740234,0.32536120563927434,0.954954954954955,[0.96226415 0.94827586],[0.94444444 0.96491228],[0.95327103 0.95652174]
68,DLBC,1.0,0.265292227268219,10,0.005583226680755615,0.5039492930129579,1.0,[1. 1.],[1. 1.],[1. 1.]
